ID_SOMAEU,siteNo,nom,secteur,region,lon,lat
MTL-88,4240-01D,4240-01D Ouv. de régulation Avenue 24 (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.4865379242573,45.6498598865326
MTL-89,4240-02D,4240-02D Émissaire d'urgence Avenue 24 (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.4864819688394,45.6499299758872
MTL-90,4250-01D,4250-01D Ouv. de régul. St-Jean-Baptiste Sud (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.4871393132623,45.6395517008487
MTL-91,4260-01D,4260-01D Ouv. de régulation Laurendeau,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-EST,-73.4939780637115,45.6301899762762
MTL-92,4265-01D,4265-01D Ouv. de régulation Richard,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-EST,-73.4968462010833,45.6259606522636
MTL-93,4270-01D,4270-01D Ouv. de régulation Gonthier - Dériv. Gonthier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5069565791895,45.6109083052319
MTL-94,4270-02D,4270-02D Ouv. de régulation Gonthier - Dériv. Georges V,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5069565791895,45.6109083052319
MTL-95,4280-01D,4280-01D Ouv. de régulation Parc Clément-Jetté,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.502646846061,45.6014149546458
MTL-159,4280-02D,4280-02D TP coll. Mercier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.509089818655,45.5986499031307
MTL-96,4290-01D,4290-01D Ouv. de régulation De Boucherville,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5062752276393,45.5840967072594
MTL-97,4300-01D,4300-01D Ouv. de régulation Clarence-Gagnon,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5174008899587,45.5690770984901
MTL-98,4310-01D,4310-01D Ouv. de régulation Dickson,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5198587838683,45.5639868823771
MTL-99,4315-01D,4315-01D Ouv. d'interc. Lot 13,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.521135534143,45.5624587360008
MTL-100,4317-01D,4317-01D Ouv. d'interc. Viau,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5230332341237,45.5540459983047
MTL-101,4320-01D,4320-01D Ouv. de régulation De La Salle,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5280671345287,45.5479736827068
MTL-102,4330-01D,4330-01D Joliette - Dériv. Nicolet,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5349543745453,45.5407874883955
MTL-103,4330-02D,4330-02D Joliette - Dériv. Dézéry,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5377255052149,45.5380709879463
MTL-104,4340-01D,4340-01D Parc Bellerive - Dériv. Mont-Royal,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5432169784026,45.525544550553
MTL-105,4340-02D,4340-02D Parc Bellerive - Dériv. Parc Lafontaine,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5432169784026,45.525544550553
MTL-106,4340-03D,4340-03D Ouv. de raccordement Papineau,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5447537454147,45.5194803873192
MTL-107,4350-01D,4350-01D Ouv. de régulation McGill,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5523988111171,45.5000009566767
MTL-108,4360-01D,4360-01D Ouv. de régulation Riverside,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.5495643527454,45.4916346607152
MTL-109,4370-01D,4370-01D Ouv. de régulation St-Pierre - Bas-niveau,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.559367856796,45.4711692775517
MTL-110,4370-02D,4370-02D Ouv. de régulation St-Pierre - Haut-niveau,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.559367856796,45.4711692775517
MTL-111,4370-03D,4370-03D Station de pompage Avenue 48 - pompe #3,OMAEU de Montréal (Station Jean-R.-Marcotte),LACHINE,-73.7093856591804,45.4359968749383
MTL-112,4370-04D,4370-04D Station de pompage Avenue 48 - pompe #4,OMAEU de Montréal (Station Jean-R.-Marcotte),LACHINE,-73.7093856591804,45.4359968749383
MTL-113,4370-05D,4370-05D Trop-plein Rockfield,OMAEU de Montréal (Station Jean-R.-Marcotte),LACHINE,-73.6531427533496,45.4373961335875
MTL-114,4380-01D,4380-01D Ouv. de régulation Rhéaume,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5563534431022,45.4696629288373
MTL-115,4390-01D,4390-01D Ouv. d'interc. Ile-des-Soeurs,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5569192644934,45.4616933160895
MTL-116,4400-01D,4400-01D Ouv. de régulation Avenue 1,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5602814216596,45.4585917885948
MTL-117,4400-02D,4400-02D Trop-plein Beatty/Av. Verdun,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5665702309477,45.4500299062245
MTL-118,4420-01D,4420-01D Ouv. de régulation Stephens,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5749534423804,45.4424940313537
MTL-119,4420-02D,4420-02D Dériv. Stephens I,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5749534423804,45.4424940313537
MTL-121,4420-04D,4420-04D Trop-plein Richard/Boul. Lasalle,OMAEU de Montréal (Station Jean-R.-Marcotte),VERDUN,-73.5687002969263,45.4479486380386
MTL-122,4430-01D,4430-01D Ouv. de régulation Alepin,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.5876671516922,45.4322623763532
MTL-123,4430-02D,4430-02D Trop-plein Sénécal/Boul. Lasalle,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.5855344552147,45.4341195823937
MTL-124,4430-03D,4430-03D Dérivation Canal de l'Aqueduc,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.6290682136038,45.4145443541486
MTL-124,4430-03D,4430-03D Dérivation Canal de l'Aqueduc,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.6303134971214,45.414746127964
MTL-125,4430-04D,4430-04D Dérivation Orchard,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.6485886095848,45.419219950603
MTL-125,4430-04D,4430-04D Dérivation Orchard,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.648917086326,45.4195953028221
MTL-126,4430-05D,4430-05D Déversoir Highlands,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.6573580090809,45.4237739855284
MTL-127,4430-06D,4430-06D S.P. Lyette,OMAEU de Montréal (Station Jean-R.-Marcotte),LASALLE,-73.6654135569842,45.4281143041047
MTL-130,4520-01D,4520-01D S.P. St-Charles,OMAEU de Montréal (Station Jean-R.-Marcotte),DORVAL,-73.7279204940025,45.4369874981669
MTL-132,4530-02D,4530-02D S.P. no 4 (Dorval) (Bord-du-Lac),OMAEU de Montréal (Station Jean-R.-Marcotte),DORVAL,-73.7710856384275,45.4405565150568
MTL-133,4560-01D,4560-01D Trop-plein Chester,OMAEU de Montréal (Station Jean-R.-Marcotte),POINTE-CLAIRE,-73.7850808739822,45.4476915683232
MTL-134,4560-02D,4560-02D Trop-plein regard 1254,OMAEU de Montréal (Station Jean-R.-Marcotte),POINTE-CLAIRE,-73.7850808739822,45.4476915683232
MTL-135,4560-03D,4560-03D Trop-plein Vincennes,OMAEU de Montréal (Station Jean-R.-Marcotte),POINTE-CLAIRE,-73.7850808739822,45.4476915683232
MTL-137,4600-01D,4600-01D Dériv. Victoria I,OMAEU de Montréal (Station Jean-R.-Marcotte),POINTE-CLAIRE,-73.8212945314538,45.4292577834165
